environment,checkpoint,method,trials,mean_episode_return,return_ci95_half_width,goal_reaching_rate,fallback_action_percentage
auv,High,lagrangian,100,-577.1923593128781,31.204642304089344,100.0,0.0
robot,Low,fallback,100,-30.14648899078369,8.395203535598178,100.0,100.0
robot,Low,conservative,100,-23.894630317687987,8.937635239798638,100.0,92.1472149999901
robot,Low,guarded,100,-116.26713190078735,18.720187977364503,100.0,61.131596999045925
robot,Low,moderate,100,-236.58714294433594,38.74283756833672,100.0,45.87733287240979
robot,Low,balanced,100,-305.4684799194336,53.8131029829472,97.0,41.4171709115846
robot,Low,high,100,-377.4706634521484,62.791216687909376,17.0,28.97010548367949
robot,Low,almost_open,100,-426.1396451377869,68.75092144664123,0.0,4.813
robot,Low,base,100,-455.380034198761,68.53817750763181,0.0,0.0
robot,Low,lagrangian,100,-187.10546161527475,60.22512909993691,79.0,0.0
robot,Mid,fallback,100,-30.14648899078369,8.395203535598178,100.0,100.0
robot,Mid,conservative,100,-8.14863332748413,9.413027864316469,100.0,78.0841871299661
robot,Mid,guarded,100,-7.6055638885498045,13.533960895471617,100.0,55.532486117640175
robot,Mid,moderate,100,-16.903896007537842,22.05085682316287,100.0,47.4406292340354
robot,Mid,balanced,100,-8.185131759643555,20.324702593514296,81.0,44.179081392012286
robot,Mid,high,100,-0.6288966751098632,15.87305152199031,5.0,28.773289597799998
robot,Mid,almost_open,100,2.098396759033203,15.5062800074369,3.0,4.80060864374403
robot,Mid,base,100,2.0765150451660155,15.499108240240488,3.0,0.0
robot,Mid,lagrangian,100,14.151398457440717,8.787403707850029,95.0,0.0
robot,High,fallback,100,-30.14648899078369,8.395203535598178,100.0,100.0
robot,High,conservative,100,23.391733131408692,6.030026965020258,100.0,69.83047833894733
robot,High,guarded,100,33.3482871055603,3.38713719524079,100.0,55.678662583175566
robot,High,moderate,100,34.27708786010742,2.637661136900588,100.0,47.49631705793473
robot,High,balanced,100,34.28578842163086,2.636114588090993,98.0,43.93935971425475
robot,High,high,100,34.02504570007324,2.7046380926714466,6.0,28.30409913038302
robot,High,almost_open,100,34.28958477020264,2.635570867174123,5.0,4.715780909802733
robot,High,base,100,34.28958477020264,2.635570867174123,5.0,0.0
robot,High,lagrangian,100,29.830293165507666,2.8473811499592974,99.0,0.0
