environment,checkpoint_stage,mode,seed,return,ggr_success,episode_length
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260866,-574.3283681626207,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260867,-1011.4966285573771,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260868,-11.525028854665848,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260869,-42.92653888746331,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260870,-790.9907516303678,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260871,-279.99713352682863,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260872,-502.68889434664675,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260873,-661.0123063391235,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260874,-608.1361908088126,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260875,-515.435033651943,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260876,-1015.8497368934115,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260877,-201.68759124173295,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260878,-356.1320805416135,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260879,-702.4990568750354,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260880,-661.035971571572,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260881,-608.6292665721901,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260882,-364.5131435764613,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260883,-725.1696703267878,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260884,-522.8454693443396,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260885,-185.83022488951593,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260886,-9.612746889950774,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260887,-1196.4844596115593,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260888,-170.72616218523595,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260889,-300.8561057877068,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260890,-430.23516686431094,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260891,-323.68317673141735,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260892,-34.81787874535123,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260893,-376.5091337941143,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260894,-169.1058947257814,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260895,-517.2826240029699,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260896,-8.272932184038224,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260897,-574.9860252124499,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260898,-993.3914046390996,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260899,-159.62202780185171,True,1000
CartpoleSwingupEnvLong-v0,High,ppo-lagrangian,20260900,-644.2022694371931,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260801,-738.8509248070067,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260802,-379.43539508949783,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260803,-1662.78533397961,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260804,-901.1755148240701,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260805,-204.5858422458254,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260806,-389.80880529968664,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260807,-818.0795885320085,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260808,-1056.6934273370923,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260809,-436.1559016882027,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260810,-986.5431339161325,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260811,-303.6783015500692,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260812,-353.773999259361,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260813,-565.7928342779043,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260814,-350.040295283598,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260815,-1109.0612372456735,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260816,-857.7911068658257,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260817,-543.1932390203181,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260818,-1292.429199974491,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260819,-1567.5570587255447,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260820,-444.48967097606084,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260821,-1220.778054886232,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260822,-185.69348465257224,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260823,-856.9278247009606,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260824,-3053.19212565365,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260825,-3109.4979781700345,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260826,-508.92091067522637,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260827,-1314.8370957388945,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260828,-1590.4425563142481,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260829,-3084.5309706881158,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260830,-1141.5677315631465,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260831,-6978.789084744981,False,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260832,-781.0728527239546,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260833,-601.8747938284217,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260834,-472.3903398620829,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260835,-281.56374330101687,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260836,-365.878028488408,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260837,-1226.425775117781,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260838,-783.7189115737084,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260839,-10309.254516538398,False,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260840,-3066.0493565371726,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260841,-35.52235518179259,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260842,-1534.201912664284,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260843,-1037.3850532353117,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260844,-1379.4230971264274,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260845,-251.37430991746643,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260846,-759.1965880442294,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260847,-728.9351121561319,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260848,-2964.8984526385816,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260849,-712.5027247801689,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260850,-1456.9049259282488,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260851,-325.655673259299,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260852,-361.5255706250595,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260853,-831.5200985994469,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260854,-579.2754465035101,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260855,-420.4306542240299,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260856,-1734.9403923313118,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260857,-4553.732332019054,False,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260858,-952.6745329529473,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260859,-1324.844505273442,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260860,-652.3185263836458,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260861,-1282.0403562061751,True,1000
CartpoleSwingupEnvLong-v0,Low,ppo-lagrangian,20260862,-2531.1038579602077,True,1000
