environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,guarded,wrapped,73,18,1000,80945742,80.945742
Pendulum-v1,PPO,guarded,base,74,18,1000,77700532,77.70053200000001
Pendulum-v1,PPO,guarded,critic,75,18,1000,64985540,64.98554
Pendulum-v1,PPO,guarded,native_logic,76,19,1000,13466,0.013465999999999999
Pendulum-v1,PPO,guarded,base,77,19,1000,71699356,71.699356
Pendulum-v1,PPO,guarded,critic,78,19,1000,62541288,62.541288
Pendulum-v1,PPO,guarded,wrapped,79,19,1000,71124129,71.124129
Pendulum-v1,PPO,guarded,wrapped,80,20,1000,73772541,73.772541
Pendulum-v1,PPO,guarded,base,81,20,1000,71631737,71.63173699999999
Pendulum-v1,PPO,guarded,native_logic,82,20,1000,16792,0.016792
Pendulum-v1,PPO,guarded,critic,83,20,1000,64362833,64.362833
Pendulum-v1,PPO,guarded,wrapped,84,21,1000,77112331,77.11233100000001
Pendulum-v1,PPO,guarded,native_logic,85,21,1000,14257,0.014256999999999999
Pendulum-v1,PPO,guarded,critic,86,21,1000,70849866,70.84986599999999
Pendulum-v1,PPO,guarded,base,87,21,1000,80388249,80.388249
Pendulum-v1,PPO,guarded,critic,88,22,1000,61158211,61.158211
Pendulum-v1,PPO,guarded,native_logic,89,22,1000,14728,0.014728
Pendulum-v1,PPO,guarded,base,90,22,1000,73798690,73.79869000000001
Pendulum-v1,PPO,guarded,wrapped,91,22,1000,74187372,74.187372
Pendulum-v1,PPO,guarded,critic,92,23,1000,63717021,63.717021
Pendulum-v1,PPO,guarded,base,93,23,1000,71234489,71.234489
Pendulum-v1,PPO,guarded,native_logic,94,23,1000,12914,0.012914
Pendulum-v1,PPO,guarded,wrapped,95,23,1000,79309682,79.309682
Pendulum-v1,PPO,guarded,wrapped,96,24,1000,73859676,73.85967600000001
Pendulum-v1,PPO,guarded,native_logic,97,24,1000,12864,0.012864
Pendulum-v1,PPO,guarded,base,98,24,1000,71682665,71.682665
Pendulum-v1,PPO,guarded,critic,99,24,1000,63620226,63.620226
Pendulum-v1,PPO,guarded,native_logic,100,25,1000,12704,0.012704
Pendulum-v1,PPO,guarded,wrapped,101,25,1000,74158737,74.15873699999999
Pendulum-v1,PPO,guarded,base,102,25,1000,71035720,71.03572
Pendulum-v1,PPO,guarded,critic,103,25,1000,68596678,68.596678
Pendulum-v1,PPO,guarded,native_logic,104,26,1000,14889,0.014889
Pendulum-v1,PPO,guarded,wrapped,105,26,1000,77960057,77.960057
Pendulum-v1,PPO,guarded,critic,106,26,1000,64629611,64.629611
Pendulum-v1,PPO,guarded,base,107,26,1000,77119063,77.119063
Pendulum-v1,PPO,guarded,wrapped,108,27,1000,88388568,88.38856799999999
Pendulum-v1,PPO,guarded,critic,109,27,1000,61579304,61.57930399999999
Pendulum-v1,PPO,guarded,native_logic,110,27,1000,15369,0.015368999999999999
Pendulum-v1,PPO,guarded,base,111,27,1000,73617034,73.617034
Pendulum-v1,PPO,guarded,critic,112,28,1000,65231480,65.23148
Pendulum-v1,PPO,guarded,native_logic,113,28,1000,21290,0.02129
Pendulum-v1,PPO,guarded,wrapped,114,28,1000,79563716,79.563716
Pendulum-v1,PPO,guarded,base,115,28,1000,69547732,69.54773200000001
Pendulum-v1,PPO,guarded,wrapped,116,29,1000,71380247,71.380247
Pendulum-v1,PPO,guarded,critic,117,29,1000,58250104,58.250104
Pendulum-v1,PPO,guarded,native_logic,118,29,1000,15971,0.015971
Pendulum-v1,PPO,guarded,base,119,29,1000,71710607,71.71060700000001
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,0,0,1000,27593,0.027593
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,1,0,1000,73496995,73.496995
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,2,0,1000,81413374,81.41337399999999
CartpoleSwingupEnvLong-v0,PPO,guarded,base,3,0,1000,85588076,85.588076
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,4,1,1000,29095,0.029095
CartpoleSwingupEnvLong-v0,PPO,guarded,base,5,1,1000,85727012,85.727012
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,6,1,1000,69051997,69.051997
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,7,1,1000,80780097,80.780097
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,8,2,1000,84327512,84.327512
CartpoleSwingupEnvLong-v0,PPO,guarded,base,9,2,1000,78481061,78.481061
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,10,2,1000,73633295,73.633295
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,11,2,1000,33805,0.033805
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,12,3,1000,77911946,77.911946
CartpoleSwingupEnvLong-v0,PPO,guarded,base,13,3,1000,73129735,73.129735
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,14,3,1000,64354487,64.354487
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,15,3,1000,27643,0.027643
CartpoleSwingupEnvLong-v0,PPO,guarded,base,16,4,1000,74518523,74.518523
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,17,4,1000,74439643,74.43964299999999
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,18,4,1000,68459126,68.459126
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,19,4,1000,27723,0.027722999999999998
CartpoleSwingupEnvLong-v0,PPO,guarded,base,20,5,1000,81276673,81.27667299999999
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,21,5,1000,79565149,79.565149
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,22,5,1000,64709304,64.709304
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,23,5,1000,27042,0.027042
CartpoleSwingupEnvLong-v0,PPO,guarded,base,24,6,1000,70755305,70.75530499999999
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,25,6,1000,71950816,71.950816
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,26,6,1000,61994235,61.994235
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,27,6,1000,27532,0.027532
CartpoleSwingupEnvLong-v0,PPO,guarded,base,28,7,1000,72790317,72.790317
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,29,7,1000,72195863,72.195863
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,30,7,1000,59712793,59.712793
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,31,7,1000,25799,0.025799
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,32,8,1000,60709305,60.709305
CartpoleSwingupEnvLong-v0,PPO,guarded,base,33,8,1000,72618099,72.618099
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,34,8,1000,78928234,78.928234
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,35,8,1000,25458,0.025457999999999998
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,36,9,1000,64747887,64.747887
CartpoleSwingupEnvLong-v0,PPO,guarded,base,37,9,1000,71860012,71.860012
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,38,9,1000,32121,0.032121000000000004
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,39,9,1000,76780849,76.780849
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,40,10,1000,25358,0.025358000000000002
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,41,10,1000,77743685,77.743685
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,42,10,1000,61170013,61.170013
CartpoleSwingupEnvLong-v0,PPO,guarded,base,43,10,1000,71827941,71.82794100000001
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,44,11,1000,61076334,61.076334
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,45,11,1000,25459,0.025459
CartpoleSwingupEnvLong-v0,PPO,guarded,base,46,11,1000,73614449,73.614449
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,47,11,1000,73877541,73.877541
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,48,12,1000,64013727,64.013727
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,49,12,1000,73908750,73.90875
CartpoleSwingupEnvLong-v0,PPO,guarded,base,50,12,1000,71735254,71.735254
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,51,12,1000,26821,0.026821
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,52,13,1000,25359,0.025359000000000003
CartpoleSwingupEnvLong-v0,PPO,guarded,wrapped,53,13,1000,76159433,76.159433
CartpoleSwingupEnvLong-v0,PPO,guarded,critic,54,13,1000,62898651,62.898651
CartpoleSwingupEnvLong-v0,PPO,guarded,base,55,13,1000,75242384,75.242384
CartpoleSwingupEnvLong-v0,PPO,guarded,base,56,14,1000,71208871,71.208871
CartpoleSwingupEnvLong-v0,PPO,guarded,native_logic,57,14,1000,25349,0.025349
