environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,balanced,wrapped,73,18,1000,83062069,83.06206900000001
Pendulum-v1,PPO,balanced,base,74,18,1000,69740380,69.74038
Pendulum-v1,PPO,balanced,critic,75,18,1000,62852412,62.852411999999994
Pendulum-v1,PPO,balanced,native_logic,76,19,1000,14027,0.014027
Pendulum-v1,PPO,balanced,base,77,19,1000,69188717,69.18871700000001
Pendulum-v1,PPO,balanced,critic,78,19,1000,67824134,67.824134
Pendulum-v1,PPO,balanced,wrapped,79,19,1000,87390745,87.390745
Pendulum-v1,PPO,balanced,wrapped,80,20,1000,91500554,91.50055400000001
Pendulum-v1,PPO,balanced,base,81,20,1000,77526861,77.52686100000001
Pendulum-v1,PPO,balanced,native_logic,82,20,1000,15119,0.015119
Pendulum-v1,PPO,balanced,critic,83,20,1000,65997099,65.997099
Pendulum-v1,PPO,balanced,wrapped,84,21,1000,85765174,85.765174
Pendulum-v1,PPO,balanced,native_logic,85,21,1000,14167,0.014166999999999999
Pendulum-v1,PPO,balanced,critic,86,21,1000,63976887,63.976887000000005
Pendulum-v1,PPO,balanced,base,87,21,1000,74486151,74.48615099999999
Pendulum-v1,PPO,balanced,critic,88,22,1000,61128954,61.128954
Pendulum-v1,PPO,balanced,native_logic,89,22,1000,13245,0.013245
Pendulum-v1,PPO,balanced,base,90,22,1000,74066381,74.06638099999999
Pendulum-v1,PPO,balanced,wrapped,91,22,1000,85874192,85.874192
Pendulum-v1,PPO,balanced,critic,92,23,1000,63656385,63.656385
Pendulum-v1,PPO,balanced,base,93,23,1000,74010535,74.010535
Pendulum-v1,PPO,balanced,native_logic,94,23,1000,13285,0.013285
Pendulum-v1,PPO,balanced,wrapped,95,23,1000,82304053,82.304053
Pendulum-v1,PPO,balanced,wrapped,96,24,1000,82722321,82.722321
Pendulum-v1,PPO,balanced,native_logic,97,24,1000,13196,0.013196
Pendulum-v1,PPO,balanced,base,98,24,1000,70056893,70.056893
Pendulum-v1,PPO,balanced,critic,99,24,1000,63689188,63.689188
Pendulum-v1,PPO,balanced,native_logic,100,25,1000,13266,0.013266
Pendulum-v1,PPO,balanced,wrapped,101,25,1000,83291095,83.291095
Pendulum-v1,PPO,balanced,base,102,25,1000,67644141,67.644141
Pendulum-v1,PPO,balanced,critic,103,25,1000,63334090,63.334089999999996
Pendulum-v1,PPO,balanced,native_logic,104,26,1000,13195,0.013195
Pendulum-v1,PPO,balanced,wrapped,105,26,1000,82965414,82.96541400000001
Pendulum-v1,PPO,balanced,critic,106,26,1000,65862132,65.862132
Pendulum-v1,PPO,balanced,base,107,26,1000,70408153,70.408153
Pendulum-v1,PPO,balanced,wrapped,108,27,1000,81674252,81.674252
Pendulum-v1,PPO,balanced,critic,109,27,1000,65067256,65.067256
Pendulum-v1,PPO,balanced,native_logic,110,27,1000,13857,0.013857
Pendulum-v1,PPO,balanced,base,111,27,1000,70152175,70.152175
Pendulum-v1,PPO,balanced,critic,112,28,1000,63922913,63.922913
Pendulum-v1,PPO,balanced,native_logic,113,28,1000,13275,0.013275
Pendulum-v1,PPO,balanced,wrapped,114,28,1000,78272954,78.272954
Pendulum-v1,PPO,balanced,base,115,28,1000,69181373,69.18137300000001
Pendulum-v1,PPO,balanced,wrapped,116,29,1000,81688709,81.688709
Pendulum-v1,PPO,balanced,critic,117,29,1000,65725101,65.725101
Pendulum-v1,PPO,balanced,native_logic,118,29,1000,13256,0.013256
Pendulum-v1,PPO,balanced,base,119,29,1000,69667109,69.667109
CartpoleSwingupEnvLong-v0,PPO,balanced,native_logic,0,0,1000,24657,0.024657
CartpoleSwingupEnvLong-v0,PPO,balanced,critic,1,0,1000,64322856,64.322856
CartpoleSwingupEnvLong-v0,PPO,balanced,wrapped,2,0,1000,86013438,86.013438
