environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,moderate,base,74,18,1000,73961260,73.96126
Pendulum-v1,PPO,moderate,critic,75,18,1000,65033051,65.033051
Pendulum-v1,PPO,moderate,native_logic,76,19,1000,15269,0.015269
Pendulum-v1,PPO,moderate,base,77,19,1000,76444196,76.44419599999999
Pendulum-v1,PPO,moderate,critic,78,19,1000,58537301,58.537301
Pendulum-v1,PPO,moderate,wrapped,79,19,1000,74955977,74.955977
Pendulum-v1,PPO,moderate,wrapped,80,20,1000,83817259,83.817259
Pendulum-v1,PPO,moderate,base,81,20,1000,72035026,72.035026
Pendulum-v1,PPO,moderate,native_logic,82,20,1000,14958,0.014958
Pendulum-v1,PPO,moderate,critic,83,20,1000,67008919,67.00891899999999
Pendulum-v1,PPO,moderate,wrapped,84,21,1000,83591278,83.591278
Pendulum-v1,PPO,moderate,native_logic,85,21,1000,14237,0.014237
Pendulum-v1,PPO,moderate,critic,86,21,1000,68352793,68.352793
Pendulum-v1,PPO,moderate,base,87,21,1000,78172853,78.172853
Pendulum-v1,PPO,moderate,critic,88,22,1000,68615493,68.615493
Pendulum-v1,PPO,moderate,native_logic,89,22,1000,15449,0.015449
Pendulum-v1,PPO,moderate,base,90,22,1000,69403366,69.40336599999999
Pendulum-v1,PPO,moderate,wrapped,91,22,1000,83313508,83.313508
Pendulum-v1,PPO,moderate,critic,92,23,1000,64195043,64.195043
Pendulum-v1,PPO,moderate,base,93,23,1000,72639990,72.63999000000001
Pendulum-v1,PPO,moderate,native_logic,94,23,1000,14678,0.014678
Pendulum-v1,PPO,moderate,wrapped,95,23,1000,86161219,86.161219
Pendulum-v1,PPO,moderate,wrapped,96,24,1000,94059354,94.05935400000001
Pendulum-v1,PPO,moderate,native_logic,97,24,1000,14658,0.014658
Pendulum-v1,PPO,moderate,base,98,24,1000,75296096,75.296096
Pendulum-v1,PPO,moderate,critic,99,24,1000,65579303,65.579303
Pendulum-v1,PPO,moderate,native_logic,100,25,1000,18666,0.018666000000000002
Pendulum-v1,PPO,moderate,wrapped,101,25,1000,84060072,84.060072
Pendulum-v1,PPO,moderate,base,102,25,1000,77054710,77.05471
Pendulum-v1,PPO,moderate,critic,103,25,1000,68923572,68.92357200000001
Pendulum-v1,PPO,moderate,native_logic,104,26,1000,15560,0.015560000000000001
Pendulum-v1,PPO,moderate,wrapped,105,26,1000,85723806,85.723806
Pendulum-v1,PPO,moderate,critic,106,26,1000,66198153,66.198153
Pendulum-v1,PPO,moderate,base,107,26,1000,78456704,78.456704
Pendulum-v1,PPO,moderate,wrapped,108,27,1000,87397648,87.397648
Pendulum-v1,PPO,moderate,critic,109,27,1000,70175639,70.17563899999999
Pendulum-v1,PPO,moderate,native_logic,110,27,1000,15439,0.015439
Pendulum-v1,PPO,moderate,base,111,27,1000,74674130,74.67413
Pendulum-v1,PPO,moderate,critic,112,28,1000,65471457,65.471457
Pendulum-v1,PPO,moderate,native_logic,113,28,1000,21922,0.021922
Pendulum-v1,PPO,moderate,wrapped,114,28,1000,82909958,82.909958
Pendulum-v1,PPO,moderate,base,115,28,1000,74247385,74.247385
Pendulum-v1,PPO,moderate,wrapped,116,29,1000,90792273,90.792273
Pendulum-v1,PPO,moderate,critic,117,29,1000,67236794,67.23679399999999
Pendulum-v1,PPO,moderate,native_logic,118,29,1000,15539,0.015538999999999999
Pendulum-v1,PPO,moderate,base,119,29,1000,70006727,70.006727
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,0,0,1000,25188,0.025188
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,1,0,1000,64012034,64.012034
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,2,0,1000,78288914,78.288914
CartpoleSwingupEnvLong-v0,PPO,moderate,base,3,0,1000,75493022,75.493022
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,4,1,1000,26701,0.026701
CartpoleSwingupEnvLong-v0,PPO,moderate,base,5,1,1000,81991216,81.991216
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,6,1,1000,68264304,68.26430400000001
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,7,1,1000,88657681,88.657681
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,8,2,1000,82226074,82.226074
CartpoleSwingupEnvLong-v0,PPO,moderate,base,9,2,1000,79776141,79.77614100000001
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,10,2,1000,66999452,66.999452
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,11,2,1000,27192,0.027192
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,12,3,1000,89950767,89.95076700000001
CartpoleSwingupEnvLong-v0,PPO,moderate,base,13,3,1000,77285130,77.28513000000001
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,14,3,1000,63170368,63.170368
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,15,3,1000,27493,0.027493
CartpoleSwingupEnvLong-v0,PPO,moderate,base,16,4,1000,78657127,78.65712699999999
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,17,4,1000,79423509,79.42350900000001
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,18,4,1000,64519070,64.51907
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,19,4,1000,25639,0.025639
CartpoleSwingupEnvLong-v0,PPO,moderate,base,20,5,1000,76325489,76.325489
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,21,5,1000,79007956,79.00795600000001
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,22,5,1000,62925802,62.925802000000004
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,23,5,1000,26190,0.02619
CartpoleSwingupEnvLong-v0,PPO,moderate,base,24,6,1000,71863228,71.863228
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,25,6,1000,78943513,78.94351300000001
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,26,6,1000,66677207,66.677207
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,27,6,1000,27272,0.027271999999999998
CartpoleSwingupEnvLong-v0,PPO,moderate,base,28,7,1000,75375908,75.375908
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,29,7,1000,80916376,80.916376
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,30,7,1000,64878827,64.878827
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,31,7,1000,26741,0.026741
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,32,8,1000,65260625,65.260625
CartpoleSwingupEnvLong-v0,PPO,moderate,base,33,8,1000,74696252,74.69625199999999
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,34,8,1000,82084785,82.084785
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,35,8,1000,25148,0.025148
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,36,9,1000,59622993,59.622993
CartpoleSwingupEnvLong-v0,PPO,moderate,base,37,9,1000,76043192,76.04319199999999
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,38,9,1000,26751,0.026751
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,39,9,1000,84293237,84.29323699999999
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,40,10,1000,34476,0.034476
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,41,10,1000,85697465,85.697465
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,42,10,1000,64637316,64.637316
CartpoleSwingupEnvLong-v0,PPO,moderate,base,43,10,1000,81244001,81.244001
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,44,11,1000,72453655,72.453655
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,45,11,1000,27262,0.027262
CartpoleSwingupEnvLong-v0,PPO,moderate,base,46,11,1000,73301332,73.30133199999999
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,47,11,1000,81143138,81.14313800000001
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,48,12,1000,66862390,66.86239
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,49,12,1000,82095846,82.09584600000001
CartpoleSwingupEnvLong-v0,PPO,moderate,base,50,12,1000,76593581,76.593581
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,51,12,1000,36470,0.036469999999999995
CartpoleSwingupEnvLong-v0,PPO,moderate,native_logic,52,13,1000,33063,0.033063
CartpoleSwingupEnvLong-v0,PPO,moderate,wrapped,53,13,1000,80710183,80.710183
CartpoleSwingupEnvLong-v0,PPO,moderate,critic,54,13,1000,64616587,64.616587
