environment,algorithm,mode,method,sequence,pair_index,calls,elapsed_ns,latency_us_per_call
Pendulum-v1,PPO,conservative,wrapped,73,18,1000,70778941,70.778941
Pendulum-v1,PPO,conservative,base,74,18,1000,66548372,66.548372
Pendulum-v1,PPO,conservative,critic,75,18,1000,60995911,60.995911
Pendulum-v1,PPO,conservative,native_logic,76,19,1000,12885,0.012885
Pendulum-v1,PPO,conservative,base,77,19,1000,66696494,66.696494
Pendulum-v1,PPO,conservative,critic,78,19,1000,60663927,60.663927
Pendulum-v1,PPO,conservative,wrapped,79,19,1000,67954403,67.954403
Pendulum-v1,PPO,conservative,wrapped,80,20,1000,67560652,67.560652
Pendulum-v1,PPO,conservative,base,81,20,1000,69130176,69.130176
Pendulum-v1,PPO,conservative,native_logic,82,20,1000,12193,0.012192999999999999
Pendulum-v1,PPO,conservative,critic,83,20,1000,63046593,63.046593
Pendulum-v1,PPO,conservative,wrapped,84,21,1000,70295789,70.295789
Pendulum-v1,PPO,conservative,native_logic,85,21,1000,12133,0.012133
Pendulum-v1,PPO,conservative,critic,86,21,1000,63197490,63.197489999999995
Pendulum-v1,PPO,conservative,base,87,21,1000,68970231,68.970231
Pendulum-v1,PPO,conservative,critic,88,22,1000,63431496,63.431495999999996
Pendulum-v1,PPO,conservative,native_logic,89,22,1000,12173,0.012173
Pendulum-v1,PPO,conservative,base,90,22,1000,74070178,74.070178
Pendulum-v1,PPO,conservative,wrapped,91,22,1000,70042305,70.042305
Pendulum-v1,PPO,conservative,critic,92,23,1000,61474263,61.474263
Pendulum-v1,PPO,conservative,base,93,23,1000,71729984,71.729984
Pendulum-v1,PPO,conservative,native_logic,94,23,1000,13646,0.013646
Pendulum-v1,PPO,conservative,wrapped,95,23,1000,70412472,70.412472
Pendulum-v1,PPO,conservative,wrapped,96,24,1000,70170811,70.170811
Pendulum-v1,PPO,conservative,native_logic,97,24,1000,12113,0.012112999999999999
Pendulum-v1,PPO,conservative,base,98,24,1000,71264236,71.26423600000001
Pendulum-v1,PPO,conservative,critic,99,24,1000,60717550,60.71755
Pendulum-v1,PPO,conservative,native_logic,100,25,1000,12073,0.012073
Pendulum-v1,PPO,conservative,wrapped,101,25,1000,70148829,70.14882899999999
Pendulum-v1,PPO,conservative,base,102,25,1000,69142660,69.14266
Pendulum-v1,PPO,conservative,critic,103,25,1000,63475471,63.475471
Pendulum-v1,PPO,conservative,native_logic,104,26,1000,12143,0.012143000000000001
Pendulum-v1,PPO,conservative,wrapped,105,26,1000,65043472,65.04347200000001
Pendulum-v1,PPO,conservative,critic,106,26,1000,60604715,60.604715
Pendulum-v1,PPO,conservative,base,107,26,1000,66499829,66.49982899999999
Pendulum-v1,PPO,conservative,wrapped,108,27,1000,67746186,67.746186
Pendulum-v1,PPO,conservative,critic,109,27,1000,58040484,58.040484
Pendulum-v1,PPO,conservative,native_logic,110,27,1000,12083,0.012083
Pendulum-v1,PPO,conservative,base,111,27,1000,69000138,69.000138
Pendulum-v1,PPO,conservative,critic,112,28,1000,58241477,58.241476999999996
Pendulum-v1,PPO,conservative,native_logic,113,28,1000,12254,0.012254
Pendulum-v1,PPO,conservative,wrapped,114,28,1000,67833563,67.833563
Pendulum-v1,PPO,conservative,base,115,28,1000,66814329,66.814329
Pendulum-v1,PPO,conservative,wrapped,116,29,1000,70142798,70.142798
Pendulum-v1,PPO,conservative,critic,117,29,1000,60557745,60.557745000000004
Pendulum-v1,PPO,conservative,native_logic,118,29,1000,14026,0.014026
Pendulum-v1,PPO,conservative,base,119,29,1000,69085490,69.08549000000001
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,0,0,1000,28074,0.028074
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,1,0,1000,65674995,65.674995
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,2,0,1000,68992072,68.992072
CartpoleSwingupEnvLong-v0,PPO,conservative,base,3,0,1000,73252458,73.252458
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,4,1,1000,28484,0.028484000000000002
CartpoleSwingupEnvLong-v0,PPO,conservative,base,5,1,1000,73728406,73.728406
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,6,1,1000,66835278,66.835278
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,7,1,1000,66416730,66.41673
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,8,2,1000,76470406,76.470406
CartpoleSwingupEnvLong-v0,PPO,conservative,base,9,2,1000,77944177,77.944177
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,10,2,1000,63715348,63.715348
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,11,2,1000,28444,0.028444
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,12,3,1000,70051363,70.051363
CartpoleSwingupEnvLong-v0,PPO,conservative,base,13,3,1000,76582019,76.582019
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,14,3,1000,69678331,69.678331
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,15,3,1000,28505,0.028505
CartpoleSwingupEnvLong-v0,PPO,conservative,base,16,4,1000,77809100,77.8091
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,17,4,1000,71071239,71.071239
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,18,4,1000,61716155,61.716155
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,19,4,1000,28203,0.028203
CartpoleSwingupEnvLong-v0,PPO,conservative,base,20,5,1000,73514718,73.51471799999999
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,21,5,1000,71707532,71.707532
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,22,5,1000,65119215,65.119215
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,23,5,1000,28144,0.028144
CartpoleSwingupEnvLong-v0,PPO,conservative,base,24,6,1000,74639234,74.639234
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,25,6,1000,71200114,71.200114
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,26,6,1000,64933592,64.93359199999999
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,27,6,1000,28093,0.028093
CartpoleSwingupEnvLong-v0,PPO,conservative,base,28,7,1000,74175309,74.175309
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,29,7,1000,72764548,72.76454799999999
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,30,7,1000,63138337,63.138337
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,31,7,1000,27071,0.027071
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,32,8,1000,66253870,66.25386999999999
CartpoleSwingupEnvLong-v0,PPO,conservative,base,33,8,1000,76437734,76.43773399999999
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,34,8,1000,77570996,77.570996
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,35,8,1000,27562,0.027562
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,36,9,1000,64941467,64.941467
CartpoleSwingupEnvLong-v0,PPO,conservative,base,37,9,1000,76899956,76.899956
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,38,9,1000,28404,0.028404
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,39,9,1000,76107774,76.107774
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,40,10,1000,27823,0.027823
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,41,10,1000,69523095,69.523095
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,42,10,1000,63505016,63.505016000000005
CartpoleSwingupEnvLong-v0,PPO,conservative,base,43,10,1000,69268860,69.26886
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,44,11,1000,63273324,63.273324
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,45,11,1000,26080,0.02608
CartpoleSwingupEnvLong-v0,PPO,conservative,base,46,11,1000,70154089,70.15408900000001
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,47,11,1000,71866656,71.866656
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,48,12,1000,60760582,60.760582
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,49,12,1000,69172948,69.172948
CartpoleSwingupEnvLong-v0,PPO,conservative,base,50,12,1000,68873036,68.873036
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,51,12,1000,26110,0.026109999999999998
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,52,13,1000,26240,0.02624
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,53,13,1000,66606002,66.60600199999999
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,54,13,1000,63154929,63.154928999999996
CartpoleSwingupEnvLong-v0,PPO,conservative,base,55,13,1000,71155689,71.155689
CartpoleSwingupEnvLong-v0,PPO,conservative,base,56,14,1000,66455955,66.455955
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,57,14,1000,26180,0.02618
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,58,14,1000,66757210,66.75721
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,59,14,1000,58133952,58.133952
CartpoleSwingupEnvLong-v0,PPO,conservative,base,60,15,1000,69056586,69.056586
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,61,15,1000,58253871,58.253871
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,62,15,1000,67255510,67.25551
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,63,15,1000,25940,0.02594
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,64,16,1000,67522279,67.522279
CartpoleSwingupEnvLong-v0,PPO,conservative,base,65,16,1000,70669202,70.669202
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,66,16,1000,59438741,59.438741
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,67,16,1000,26751,0.026751
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,68,17,1000,26120,0.02612
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,69,17,1000,66665996,66.66599599999999
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,70,17,1000,58196802,58.196802000000005
CartpoleSwingupEnvLong-v0,PPO,conservative,base,71,17,1000,69099628,69.099628
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,72,18,1000,58383939,58.383939
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,73,18,1000,26120,0.02612
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,74,18,1000,66411861,66.411861
CartpoleSwingupEnvLong-v0,PPO,conservative,base,75,18,1000,71130922,71.13092200000001
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,76,19,1000,69315109,69.31510899999999
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,77,19,1000,60935526,60.935525999999996
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,78,19,1000,25919,0.025919
CartpoleSwingupEnvLong-v0,PPO,conservative,base,79,19,1000,71298071,71.298071
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,80,20,1000,60818061,60.818061
CartpoleSwingupEnvLong-v0,PPO,conservative,base,81,20,1000,73560586,73.560586
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,82,20,1000,68963248,68.96324800000001
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,83,20,1000,25780,0.02578
CartpoleSwingupEnvLong-v0,PPO,conservative,base,84,21,1000,71299924,71.299924
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,85,21,1000,25899,0.025899000000000002
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,86,21,1000,63358467,63.358467
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,87,21,1000,69202453,69.20245299999999
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,88,22,1000,60821709,60.821709000000006
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,89,22,1000,75931528,75.931528
CartpoleSwingupEnvLong-v0,PPO,conservative,base,90,22,1000,71107778,71.10777800000001
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,91,22,1000,28755,0.028755
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,92,23,1000,67767567,67.767567
CartpoleSwingupEnvLong-v0,PPO,conservative,base,93,23,1000,71069124,71.069124
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,94,23,1000,26049,0.026049
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,95,23,1000,63291179,63.291179
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,96,24,1000,61300752,61.300752
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,97,24,1000,26100,0.0261
CartpoleSwingupEnvLong-v0,PPO,conservative,base,98,24,1000,66883881,66.88388099999999
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,99,24,1000,66882369,66.88236900000001
CartpoleSwingupEnvLong-v0,PPO,conservative,base,100,25,1000,66952563,66.952563
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,101,25,1000,60732528,60.732527999999995
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,102,25,1000,64074763,64.074763
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,103,25,1000,26139,0.026139
CartpoleSwingupEnvLong-v0,PPO,conservative,base,104,26,1000,69047448,69.047448
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,105,26,1000,58603227,58.603227
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,106,26,1000,66597134,66.59713400000001
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,107,26,1000,25929,0.025928999999999997
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,108,27,1000,58296072,58.296072
CartpoleSwingupEnvLong-v0,PPO,conservative,base,109,27,1000,68980681,68.98068099999999
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,110,27,1000,64336683,64.336683
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,111,27,1000,25859,0.025859
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,112,28,1000,26050,0.02605
CartpoleSwingupEnvLong-v0,PPO,conservative,base,113,28,1000,69313195,69.31319500000001
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,114,28,1000,61093978,61.093978
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,115,28,1000,72496166,72.496166
CartpoleSwingupEnvLong-v0,PPO,conservative,wrapped,116,29,1000,69727044,69.72704399999999
CartpoleSwingupEnvLong-v0,PPO,conservative,critic,117,29,1000,63161160,63.16116
CartpoleSwingupEnvLong-v0,PPO,conservative,base,118,29,1000,67656615,67.656615
CartpoleSwingupEnvLong-v0,PPO,conservative,native_logic,119,29,1000,26450,0.026449999999999998
UnderwaterDrone-v0,TD3,conservative,native_logic,0,0,1000,13857,0.013857
UnderwaterDrone-v0,TD3,conservative,base,1,0,1000,84974115,84.97411500000001
UnderwaterDrone-v0,TD3,conservative,wrapped,2,0,1000,247288637,247.288637
UnderwaterDrone-v0,TD3,conservative,critic,3,0,1000,165684149,165.684149
UnderwaterDrone-v0,TD3,conservative,critic,4,1,1000,157486453,157.486453
UnderwaterDrone-v0,TD3,conservative,native_logic,5,1,1000,14899,0.014898999999999999
UnderwaterDrone-v0,TD3,conservative,base,6,1,1000,82450242,82.450242
UnderwaterDrone-v0,TD3,conservative,wrapped,7,1,1000,255861219,255.861219
UnderwaterDrone-v0,TD3,conservative,critic,8,2,1000,168921273,168.92127299999999
UnderwaterDrone-v0,TD3,conservative,native_logic,9,2,1000,21010,0.02101
UnderwaterDrone-v0,TD3,conservative,wrapped,10,2,1000,259787707,259.787707
UnderwaterDrone-v0,TD3,conservative,base,11,2,1000,80118755,80.11875500000001
UnderwaterDrone-v0,TD3,conservative,wrapped,12,3,1000,260072872,260.072872
UnderwaterDrone-v0,TD3,conservative,critic,13,3,1000,170482761,170.482761
UnderwaterDrone-v0,TD3,conservative,base,14,3,1000,81244322,81.244322
UnderwaterDrone-v0,TD3,conservative,native_logic,15,3,1000,13806,0.013805999999999999
UnderwaterDrone-v0,TD3,conservative,wrapped,16,4,1000,256135482,256.13548199999997
UnderwaterDrone-v0,TD3,conservative,critic,17,4,1000,165599407,165.599407
UnderwaterDrone-v0,TD3,conservative,base,18,4,1000,81179248,81.179248
UnderwaterDrone-v0,TD3,conservative,native_logic,19,4,1000,13857,0.013857
UnderwaterDrone-v0,TD3,conservative,native_logic,20,5,1000,13476,0.013476
